Unnamed: 0	season	division	round	localTeam	visitorTeam	localGoals	visitorGoals	date	timestamp
26241	2005-06	1	5	Atletico de Madrid	Getafe	0	1	24/09/2005	1127512800
26242	2005-06	1	5	Betis	Barcelona	1	4	24/09/2005	1127512800
26243	2005-06	1	5	Espanol	Villarreal	1	2	24/09/2005	1127512800
26244	2005-06	1	5	Valencia	Real Sociedad	2	1	24/09/2005	1127512800
26245	2005-06	1	5	Zaragoza	Deportivo	1	1	24/09/2005	1127512800
26246	2005-06	1	5	Atletico de Bilbao	Santander	0	0	25/09/2005	1127599200
26247	2005-06	1	5	Celta de Vigo	Sevilla	2	1	25/09/2005	1127599200
26248	2005-06	1	5	Alaves	Real Madrid	0	3	25/09/2005	1127599200
26249	2005-06	1	5	Mallorca	Malaga	1	4	25/09/2005	1127599200
26250	2005-06	1	5	Osasuna	Cadiz	2	0	25/09/2005	1127599200
26251	2005-06	1	6	Barcelona	Zaragoza	2	2	01/10/2005	1128117600
26252	2005-06	1	6	Getafe	Valencia	2	1	01/10/2005	1128117600
26253	2005-06	1	6	Cadiz	Celta de Vigo	1	1	02/10/2005	1128204000
26254	2005-06	1	6	Deportivo	Osasuna	0	1	02/10/2005	1128204000
26255	2005-06	1	6	Malaga	Atletico de Madrid	0	2	02/10/2005	1128204000
26256	2005-06	1	6	Santander	Alaves	1	2	02/10/2005	1128204000
26257	2005-06	1	6	Real Sociedad	Betis	1	1	02/10/2005	1128204000
26258	2005-06	1	6	Real Madrid	Mallorca	4	0	02/10/2005	1128204000
26259	2005-06	1	6	Sevilla	Espanol	1	1	02/10/2005	1128204000
26260	2005-06	1	6	Villarreal	Atletico de Bilbao	3	1	02/10/2005	1128204000
26261	2005-06	1	7	Atletico de Madrid	Real Madrid	0	3	15/10/2005	1129327200
26262	2005-06	1	7	Alaves	Villarreal	1	1	15/10/2005	1129327200
26263	2005-06	1	7	Deportivo	Barcelona	3	3	15/10/2005	1129327200
26264	2005-06	1	7	Atletico de Bilbao	Sevilla	0	1	16/10/2005	1129413600
26265	2005-06	1	7	Betis	Getafe	1	0	16/10/2005	1129413600
26266	2005-06	1	7	Espanol	Cadiz	0	2	16/10/2005	1129413600
26267	2005-06	1	7	Mallorca	Santander	0	0	16/10/2005	1129413600
26268	2005-06	1	7	Osasuna	Celta de Vigo	2	0	16/10/2005	1129413600
26269	2005-06	1	7	Valencia	Malaga	2	1	16/10/2005	1129413600
26270	2005-06	1	7	Zaragoza	Real Sociedad	0	1	16/10/2005	1129413600
26271	2005-06	1	8	Barcelona	Osasuna	3	0	22/10/2005	1129932000
26272	2005-06	1	8	Sevilla	Alaves	2	0	22/10/2005	1129932000
26273	2005-06	1	8	Cadiz	Atletico de Bilbao	1	0	23/10/2005	1130018400
26274	2005-06	1	8	Celta de Vigo	Espanol	1	0	23/10/2005	1130018400
26275	2005-06	1	8	Getafe	Zaragoza	5	2	23/10/2005	1130018400
26276	2005-06	1	8	Malaga	Betis	5	0	23/10/2005	1130018400
26277	2005-06	1	8	Santander	Atletico de Madrid	0	1	23/10/2005	1130018400
26278	2005-06	1	8	Real Sociedad	Deportivo	2	0	23/10/2005	1130018400
26279	2005-06	1	8	Real Madrid	Valencia	1	2	23/10/2005	1130018400
26280	2005-06	1	8	Villarreal	Mallorca	3	0	23/10/2005	1130018400
26281	2005-06	1	9	Atletico de Bilbao	Celta de Vigo	1	1	29/10/2005	1130536800
26282	2005-06	1	9	Betis	Real Madrid	0	2	29/10/2005	1130536800
26283	2005-06	1	9	Atletico de Madrid	Villarreal	1	1	30/10/2005	1130623200
26284	2005-06	1	9	Barcelona	Real Sociedad	5	0	30/10/2005	1130623200
26285	2005-06	1	9	Alaves	Cadiz	0	0	30/10/2005	1130623200
26286	2005-06	1	9	Deportivo	Getafe	1	0	30/10/2005	1130623200
26287	2005-06	1	9	Mallorca	Sevilla	1	1	30/10/2005	1130623200
26288	2005-06	1	9	Osasuna	Espanol	2	0	30/10/2005	1130623200
26289	2005-06	1	9	Valencia	Santander	1	1	30/10/2005	1130623200
26290	2005-06	1	9	Zaragoza	Malaga	1	1	30/10/2005	1130623200
26291	2005-06	1	10	Espanol	Atletico de Bilbao	1	1	05/11/2005	1131145200
26292	2005-06	1	10	Real Sociedad	Osasuna	1	2	05/11/2005	1131145200
26293	2005-06	1	10	Villarreal	Valencia	1	0	05/11/2005	1131145200
26294	2005-06	1	10	Cadiz	Mallorca	1	2	06/11/2005	1131231600
26295	2005-06	1	10	Celta de Vigo	Alaves	2	1	06/11/2005	1131231600
26296	2005-06	1	10	Getafe	Barcelona	1	3	06/11/2005	1131231600
26297	2005-06	1	10	Malaga	Deportivo	1	1	06/11/2005	1131231600
26298	2005-06	1	10	Santander	Betis	1	1	06/11/2005	1131231600
26299	2005-06	1	10	Real Madrid	Zaragoza	1	0	06/11/2005	1131231600
26300	2005-06	1	10	Sevilla	Atletico de Madrid	0	0	06/11/2005	1131231600
26301	2005-06	1	11	Barcelona	Malaga	2	0	26/10/2005	1130277600
26302	2005-06	1	11	Betis	Villarreal	2	3	26/10/2005	1130277600
26303	2005-06	1	11	Deportivo	Real Madrid	3	1	26/10/2005	1130277600
26304	2005-06	1	11	Mallorca	Celta de Vigo	1	0	26/10/2005	1130277600
26305	2005-06	1	11	Osasuna	Atletico de Bilbao	3	2	26/10/2005	1130277600
26306	2005-06	1	11	Atletico de Madrid	Cadiz	3	0	27/10/2005	1130364000
26307	2005-06	1	11	Alaves	Espanol	1	1	27/10/2005	1130364000
26308	2005-06	1	11	Real Sociedad	Getafe	3	0	27/10/2005	1130364000
26309	2005-06	1	11	Valencia	Sevilla	0	2	27/10/2005	1130364000
26310	2005-06	1	11	Zaragoza	Santander	1	1	27/10/2005	1130364000
26311	2005-06	1	12	Getafe	Osasuna	0	0	19/11/2005	1132354800
26312	2005-06	1	12	Real Madrid	Barcelona	0	3	19/11/2005	1132354800
26313	2005-06	1	12	Sevilla	Betis	1	0	19/11/2005	1132354800
26314	2005-06	1	12	Villarreal	Zaragoza	0	0	19/11/2005	1132354800
26315	2005-06	1	12	Atletico de Bilbao	Alaves	0	2	20/11/2005	1132441200
26316	2005-06	1	12	Cadiz	Valencia	0	1	20/11/2005	1132441200
26317	2005-06	1	12	Celta de Vigo	Atletico de Madrid	2	1	20/11/2005	1132441200
26318	2005-06	1	12	Espanol	Mallorca	2	0	20/11/2005	1132441200
26319	2005-06	1	12	Malaga	Real Sociedad	3	1	20/11/2005	1132441200
26320	2005-06	1	12	Santander	Deportivo	0	3	20/11/2005	1132441200
26321	2005-06	1	13	Mallorca	Atletico de Bilbao	0	1	26/11/2005	1132959600
26322	2005-06	1	13	Valencia	Celta de Vigo	2	0	26/11/2005	1132959600
26323	2005-06	1	13	Atletico de Madrid	Espanol	1	1	27/11/2005	1133046000
26324	2005-06	1	13	Barcelona	Santander	4	1	27/11/2005	1133046000
26325	2005-06	1	13	Betis	Cadiz	1	1	27/11/2005	1133046000
26326	2005-06	1	13	Deportivo	Villarreal	0	2	27/11/2005	1133046000
26327	2005-06	1	13	Getafe	Malaga	3	2	27/11/2005	1133046000
26328	2005-06	1	13	Osasuna	Alaves	3	2	27/11/2005	1133046000
26329	2005-06	1	13	Real Sociedad	Real Madrid	2	2	27/11/2005	1133046000
26330	2005-06	1	13	Zaragoza	Sevilla	0	2	27/11/2005	1133046000
26331	2005-06	1	14	Atletico de Bilbao	Atletico de Madrid	1	1	03/12/2005	1133564400
26332	2005-06	1	14	Celta de Vigo	Betis	2	1	03/12/2005	1133564400
26333	2005-06	1	14	Real Madrid	Getafe	1	0	03/12/2005	1133564400
26334	2005-06	1	14	Cadiz	Zaragoza	1	2	04/12/2005	1133650800
26335	2005-06	1	14	Alaves	Mallorca	0	3	04/12/2005	1133650800
26336	2005-06	1	14	Espanol	Valencia	1	3	04/12/2005	1133650800
26337	2005-06	1	14	Malaga	Osasuna	1	2	04/12/2005	1133650800
26338	2005-06	1	14	Santander	Real Sociedad	2	2	04/12/2005	1133650800
26339	2005-06	1	14	Sevilla	Deportivo	0	2	04/12/2005	1133650800
26340	2005-06	1	14	Villarreal	Barcelona	0	2	04/12/2005	1133650800
26341	2005-06	1	15	Real Sociedad	Villarreal	1	3	10/12/2005	1134169200
26342	2005-06	1	15	Valencia	Atletico de Bilbao	1	1	10/12/2005	1134169200
26343	2005-06	1	15	Atletico de Madrid	Alaves	1	1	11/12/2005	1134255600
26344	2005-06	1	15	Barcelona	Sevilla	2	1	11/12/2005	1134255600
26345	2005-06	1	15	Betis	Espanol	0	0	11/12/2005	1134255600
26346	2005-06	1	15	Deportivo	Cadiz	1	0	11/12/2005	1134255600
26347	2005-06	1	15	Getafe	Santander	1	2	11/12/2005	1134255600
26348	2005-06	1	15	Malaga	Real Madrid	0	2	11/12/2005	1134255600
26349	2005-06	1	15	Osasuna	Mallorca	1	0	11/12/2005	1134255600
26350	2005-06	1	15	Zaragoza	Celta de Vigo	1	0	11/12/2005	1134255600
26351	2005-06	1	16	Atletico de Bilbao	Betis	2	0	17/12/2005	1134774000
26352	2005-06	1	16	Cadiz	Barcelona	1	3	17/12/2005	1134774000
26353	2005-06	1	16	Celta de Vigo	Deportivo	0	3	17/12/2005	1134774000
26354	2005-06	1	16	Alaves	Valencia	0	1	18/12/2005	1134860400
26355	2005-06	1	16	Espanol	Zaragoza	2	2	18/12/2005	1134860400
26356	2005-06	1	16	Mallorca	Atletico de Madrid	2	2	18/12/2005	1134860400
26357	2005-06	1	16	Santander	Malaga	1	1	18/12/2005	1134860400
26358	2005-06	1	16	Real Madrid	Osasuna	1	1	18/12/2005	1134860400
26359	2005-06	1	16	Sevilla	Real Sociedad	3	2	18/12/2005	1134860400
26360	2005-06	1	16	Villarreal	Getafe	2	1	18/12/2005	1134860400
26361	2005-06	1	17	Barcelona	Celta de Vigo	2	0	20/12/2005	1135033200
26362	2005-06	1	17	Betis	Alaves	3	0	21/12/2005	1135119600
26363	2005-06	1	17	Deportivo	Espanol	1	2	21/12/2005	1135119600
26364	2005-06	1	17	Getafe	Sevilla	1	0	21/12/2005	1135119600
26365	2005-06	1	17	Malaga	Villarreal	0	0	21/12/2005	1135119600
26366	2005-06	1	17	Real Sociedad	Cadiz	2	0	21/12/2005	1135119600
26367	2005-06	1	17	Real Madrid	Santander	1	2	21/12/2005	1135119600
26368	2005-06	1	17	Valencia	Mallorca	3	0	21/12/2005	1135119600
26369	2005-06	1	17	Zaragoza	Atletico de Bilbao	3	2	21/12/2005	1135119600
26370	2005-06	1	17	Osasuna	Atletico de Madrid	2	1	22/12/2005	1135206000
26371	2005-06	1	18	Atletico de Bilbao	Deportivo	1	2	07/01/2006	1136588400
26372	2005-06	1	18	Espanol	Barcelona	1	2	07/01/2006	1136588400
26373	2005-06	1	18	Atletico de Madrid	Valencia	0	0	08/01/2006	1136674800
26374	2005-06	1	18	Cadiz	Getafe	1	0	08/01/2006	1136674800
26375	2005-06	1	18	Celta de Vigo	Real Sociedad	1	0	08/01/2006	1136674800
26376	2005-06	1	18	Alaves	Zaragoza	0	2	08/01/2006	1136674800
26377	2005-06	1	18	Mallorca	Betis	1	1	08/01/2006	1136674800
26378	2005-06	1	18	Osasuna	Santander	1	1	08/01/2006	1136674800
26379	2005-06	1	18	Sevilla	Malaga	3	1	08/01/2006	1136674800
26380	2005-06	1	18	Villarreal	Real Madrid	0	0	08/01/2006	1136674800
26381	2005-06	1	19	Betis	Atletico de Madrid	1	0	14/01/2006	1137193200
26382	2005-06	1	19	Valencia	Osasuna	2	0	14/01/2006	1137193200
26383	2005-06	1	19	Barcelona	Atletico de Bilbao	2	1	15/01/2006	1137279600
26384	2005-06	1	19	Deportivo	Alaves	0	2	15/01/2006	1137279600
26385	2005-06	1	19	Getafe	Celta de Vigo	1	1	15/01/2006	1137279600
26386	2005-06	1	19	Malaga	Cadiz	0	2	15/01/2006	1137279600
26387	2005-06	1	19	Santander	Villarreal	1	0	15/01/2006	1137279600
26388	2005-06	1	19	Real Sociedad	Espanol	0	1	15/01/2006	1137279600
26389	2005-06	1	19	Real Madrid	Sevilla	4	2	15/01/2006	1137279600
26390	2005-06	1	19	Zaragoza	Mallorca	3	1	15/01/2006	1137279600
26391	2005-06	1	20	Real Madrid	Cadiz	3	1	21/01/2006	1137798000
26392	2005-06	1	20	Zaragoza	Atletico de Madrid	0	2	21/01/2006	1137798000
26393	2005-06	1	20	Barcelona	Alaves	2	0	22/01/2006	1137884400
26394	2005-06	1	20	Betis	Valencia	0	2	22/01/2006	1137884400
26395	2005-06	1	20	Deportivo	Mallorca	2	2	22/01/2006	1137884400
26396	2005-06	1	20	Getafe	Espanol	5	0	22/01/2006	1137884400
26397	2005-06	1	20	Malaga	Celta de Vigo	0	2	22/01/2006	1137884400
26398	2005-06	1	20	Santander	Sevilla	2	3	22/01/2006	1137884400
26399	2005-06	1	20	Real Sociedad	Atletico de Bilbao	3	3	22/01/2006	1137884400
26400	2005-06	1	20	Villarreal	Osasuna	2	1	22/01/2006	1137884400
26401	2005-06	1	21	Atletico de Bilbao	Getafe	1	0	28/01/2006	1138402800
26402	2005-06	1	21	Atletico de Madrid	Deportivo	3	2	28/01/2006	1138402800
26403	2005-06	1	21	Cadiz	Santander	1	1	28/01/2006	1138402800
26404	2005-06	1	21	Celta de Vigo	Real Madrid	1	2	29/01/2006	1138489200
26405	2005-06	1	21	Alaves	Real Sociedad	3	1	29/01/2006	1138489200
26406	2005-06	1	21	Espanol	Malaga	3	1	29/01/2006	1138489200
26407	2005-06	1	21	Mallorca	Barcelona	0	3	29/01/2006	1138489200
26408	2005-06	1	21	Osasuna	Betis	0	2	29/01/2006	1138489200
26409	2005-06	1	21	Sevilla	Villarreal	2	0	29/01/2006	1138489200
26410	2005-06	1	21	Valencia	Zaragoza	2	2	29/01/2006	1138489200
26411	2005-06	1	22	Deportivo	Valencia	0	1	04/02/2006	1139007600
26412	2005-06	1	22	Malaga	Atletico de Bilbao	2	1	04/02/2006	1139007600
26413	2005-06	1	22	Real Madrid	Espanol	4	0	04/02/2006	1139007600
26414	2005-06	1	22	Barcelona	Atletico de Madrid	1	3	05/02/2006	1139094000
26415	2005-06	1	22	Getafe	Alaves	2	2	05/02/2006	1139094000
26416	2005-06	1	22	Santander	Celta de Vigo	0	1	05/02/2006	1139094000
26417	2005-06	1	22	Real Sociedad	Mallorca	2	1	05/02/2006	1139094000
26418	2005-06	1	22	Sevilla	Osasuna	0	1	05/02/2006	1139094000
26419	2005-06	1	22	Villarreal	Cadiz	1	1	05/02/2006	1139094000
26420	2005-06	1	22	Zaragoza	Betis	4	3	05/02/2006	1139094000
26421	2005-06	1	23	Atletico de Bilbao	Real Madrid	0	2	11/02/2006	1139612400
26422	2005-06	1	23	Cadiz	Sevilla	0	4	11/02/2006	1139612400
26423	2005-06	1	23	Osasuna	Zaragoza	1	1	11/02/2006	1139612400
26424	2005-06	1	23	Atletico de Madrid	Real Sociedad	1	0	12/02/2006	1139698800
26425	2005-06	1	23	Betis	Deportivo	0	1	12/02/2006	1139698800
26426	2005-06	1	23	Celta de Vigo	Villarreal	1	0	12/02/2006	1139698800
26427	2005-06	1	23	Alaves	Malaga	3	2	12/02/2006	1139698800
26428	2005-06	1	23	Espanol	Santander	0	2	12/02/2006	1139698800
26429	2005-06	1	23	Mallorca	Getafe	1	1	12/02/2006	1139698800
26430	2005-06	1	23	Valencia	Barcelona	1	0	12/02/2006	1139698800
26431	2005-06	1	24	Barcelona	Betis	5	1	18/02/2006	1140217200
26432	2005-06	1	24	Real Madrid	Alaves	3	0	18/02/2006	1140217200
26433	2005-06	1	24	Sevilla	Celta de Vigo	1	0	18/02/2006	1140217200
26434	2005-06	1	24	Villarreal	Espanol	4	0	18/02/2006	1140217200
26435	2005-06	1	24	Cadiz	Osasuna	1	3	19/02/2006	1140303600
26436	2005-06	1	24	Deportivo	Zaragoza	1	1	19/02/2006	1140303600
26437	2005-06	1	24	Getafe	Atletico de Madrid	0	3	19/02/2006	1140303600
26438	2005-06	1	24	Malaga	Mallorca	0	2	19/02/2006	1140303600
26439	2005-06	1	24	Santander	Atletico de Bilbao	0	1	19/02/2006	1140303600
26440	2005-06	1	24	Real Sociedad	Valencia	1	2	19/02/2006	1140303600
26441	2005-06	1	25	Atletico de Madrid	Malaga	5	0	25/02/2006	1140822000
26442	2005-06	1	25	Zaragoza	Barcelona	0	2	25/02/2006	1140822000
26443	2005-06	1	25	Atletico de Bilbao	Villarreal	1	1	26/02/2006	1140908400
26444	2005-06	1	25	Betis	Real Sociedad	2	0	26/02/2006	1140908400
26445	2005-06	1	25	Celta de Vigo	Cadiz	2	0	26/02/2006	1140908400
26446	2005-06	1	25	Alaves	Santander	2	2	26/02/2006	1140908400
26447	2005-06	1	25	Espanol	Sevilla	5	0	26/02/2006	1140908400
26448	2005-06	1	25	Mallorca	Real Madrid	2	1	26/02/2006	1140908400
26449	2005-06	1	25	Osasuna	Deportivo	1	2	26/02/2006	1140908400
26450	2005-06	1	25	Valencia	Getafe	1	1	26/02/2006	1140908400
26451	2005-06	1	26	Barcelona	Deportivo	3	2	04/03/2006	1141426800
26452	2005-06	1	26	Cadiz	Espanol	2	0	04/03/2006	1141426800
26453	2005-06	1	26	Real Madrid	Atletico de Madrid	2	1	04/03/2006	1141426800
26454	2005-06	1	26	Villarreal	Alaves	3	2	04/03/2006	1141426800
26455	2005-06	1	26	Celta de Vigo	Osasuna	2	0	05/03/2006	1141513200
26456	2005-06	1	26	Getafe	Betis	1	0	05/03/2006	1141513200
26457	2005-06	1	26	Malaga	Valencia	0	0	05/03/2006	1141513200
26458	2005-06	1	26	Santander	Mallorca	0	0	05/03/2006	1141513200
26459	2005-06	1	26	Real Sociedad	Zaragoza	1	3	05/03/2006	1141513200
26460	2005-06	1	26	Sevilla	Atletico de Bilbao	2	1	05/03/2006	1141513200
26461	2005-06	1	27	Deportivo	Real Sociedad	0	1	11/03/2006	1142031600
26462	2005-06	1	27	Espanol	Celta de Vigo	2	0	11/03/2006	1142031600
26463	2005-06	1	27	Valencia	Real Madrid	0	0	11/03/2006	1142031600
26464	2005-06	1	27	Atletico de Bilbao	Cadiz	1	0	12/03/2006	1142118000
26465	2005-06	1	27	Atletico de Madrid	Santander	2	1	12/03/2006	1142118000
26466	2005-06	1	27	Betis	Malaga	1	1	12/03/2006	1142118000
26467	2005-06	1	27	Alaves	Sevilla	2	1	12/03/2006	1142118000
26468	2005-06	1	27	Mallorca	Villarreal	1	1	12/03/2006	1142118000
26469	2005-06	1	27	Osasuna	Barcelona	2	1	12/03/2006	1142118000
26470	2005-06	1	27	Zaragoza	Getafe	1	2	12/03/2006	1142118000
26471	2005-06	1	28	Getafe	Deportivo	1	2	18/03/2006	1142636400
26472	2005-06	1	28	Real Sociedad	Barcelona	0	2	18/03/2006	1142636400
26473	2005-06	1	28	Villarreal	Atletico de Madrid	1	1	18/03/2006	1142636400
26474	2005-06	1	28	Cadiz	Alaves	0	0	19/03/2006	1142722800
26475	2005-06	1	28	Celta de Vigo	Atletico de Bilbao	0	1	19/03/2006	1142722800
26476	2005-06	1	28	Espanol	Osasuna	2	4	19/03/2006	1142722800
26477	2005-06	1	28	Malaga	Zaragoza	0	1	19/03/2006	1142722800
26478	2005-06	1	28	Santander	Valencia	2	1	19/03/2006	1142722800
26479	2005-06	1	28	Real Madrid	Betis	0	0	19/03/2006	1142722800
26480	2005-06	1	28	Sevilla	Mallorca	1	1	19/03/2006	1142722800
26481	2005-06	1	29	Barcelona	Getafe	3	1	21/03/2006	1142895600
26482	2005-06	1	29	Atletico de Bilbao	Espanol	1	1	22/03/2006	1142982000
26483	2005-06	1	29	Betis	Santander	1	0	22/03/2006	1142982000
26484	2005-06	1	29	Alaves	Celta de Vigo	1	0	22/03/2006	1142982000
26485	2005-06	1	29	Deportivo	Malaga	2	1	22/03/2006	1142982000
26486	2005-06	1	29	Mallorca	Cadiz	1	0	22/03/2006	1142982000
26487	2005-06	1	29	Osasuna	Real Sociedad	2	0	22/03/2006	1142982000
26488	2005-06	1	29	Valencia	Villarreal	1	1	22/03/2006	1142982000
26489	2005-06	1	29	Zaragoza	Real Madrid	1	1	22/03/2006	1142982000
26490	2005-06	1	29	Atletico de Madrid	Sevilla	0	1	23/03/2006	1143068400
26491	2005-06	1	30	Atletico de Bilbao	Osasuna	1	0	25/03/2006	1143241200
26492	2005-06	1	30	Malaga	Barcelona	0	0	25/03/2006	1143241200
26493	2005-06	1	30	Villarreal	Betis	1	2	25/03/2006	1143241200
26494	2005-06	1	30	Cadiz	Atletico de Madrid	1	1	26/03/2006	1143327600
26495	2005-06	1	30	Celta de Vigo	Mallorca	2	0	26/03/2006	1143327600
26496	2005-06	1	30	Espanol	Alaves	0	0	26/03/2006	1143327600
26497	2005-06	1	30	Getafe	Real Sociedad	2	1	26/03/2006	1143327600
26498	2005-06	1	30	Santander	Zaragoza	0	0	26/03/2006	1143327600
26499	2005-06	1	30	Real Madrid	Deportivo	4	0	26/03/2006	1143327600
26500	2005-06	1	30	Sevilla	Valencia	1	0	26/03/2006	1143327600
26501	2005-06	1	31	Barcelona	Real Madrid	1	1	01/04/2006	1143842400
26502	2005-06	1	31	Real Sociedad	Malaga	3	0	01/04/2006	1143842400
26503	2005-06	1	31	Zaragoza	Villarreal	0	1	01/04/2006	1143842400
26504	2005-06	1	31	Atletico de Madrid	Celta de Vigo	0	3	02/04/2006	1143928800
26505	2005-06	1	31	Betis	Sevilla	2	1	02/04/2006	1143928800
26506	2005-06	1	31	Alaves	Atletico de Bilbao	0	0	02/04/2006	1143928800
26507	2005-06	1	31	Deportivo	Santander	2	0	02/04/2006	1143928800
26508	2005-06	1	31	Mallorca	Espanol	0	0	02/04/2006	1143928800
26509	2005-06	1	31	Osasuna	Getafe	0	4	02/04/2006	1143928800
26510	2005-06	1	31	Valencia	Cadiz	5	3	02/04/2006	1143928800
26511	2005-06	1	32	Cadiz	Betis	1	1	08/04/2006	1144447200
26512	2005-06	1	32	Celta de Vigo	Valencia	0	1	08/04/2006	1144447200
26513	2005-06	1	32	Malaga	Getafe	1	2	08/04/2006	1144447200
26514	2005-06	1	32	Real Madrid	Real Sociedad	1	1	08/04/2006	1144447200
26515	2005-06	1	32	Atletico de Bilbao	Mallorca	1	1	09/04/2006	1144533600
26516	2005-06	1	32	Alaves	Osasuna	1	2	09/04/2006	1144533600
26517	2005-06	1	32	Espanol	Atletico de Madrid	1	1	09/04/2006	1144533600
26518	2005-06	1	32	Santander	Barcelona	2	2	09/04/2006	1144533600
26519	2005-06	1	32	Sevilla	Zaragoza	1	1	09/04/2006	1144533600
26520	2005-06	1	32	Villarreal	Deportivo	1	1	09/04/2006	1144533600
26521	2005-06	1	33	Barcelona	Villarreal	1	0	14/04/2006	1144965600
26522	2005-06	1	33	Deportivo	Sevilla	0	0	15/04/2006	1145052000
26523	2005-06	1	33	Mallorca	Alaves	0	0	15/04/2006	1145052000
26524	2005-06	1	33	Real Sociedad	Santander	1	0	15/04/2006	1145052000
26525	2005-06	1	33	Atletico de Madrid	Atletico de Bilbao	1	0	16/04/2006	1145138400
26526	2005-06	1	33	Betis	Celta de Vigo	0	2	16/04/2006	1145138400
26527	2005-06	1	33	Getafe	Real Madrid	1	1	16/04/2006	1145138400
26528	2005-06	1	33	Osasuna	Malaga	1	1	16/04/2006	1145138400
26529	2005-06	1	33	Valencia	Espanol	4	0	16/04/2006	1145138400
26530	2005-06	1	33	Zaragoza	Cadiz	1	2	16/04/2006	1145138400
26531	2005-06	1	34	Celta de Vigo	Zaragoza	4	0	22/04/2006	1145656800
26532	2005-06	1	34	Alaves	Atletico de Madrid	0	1	22/04/2006	1145656800
26533	2005-06	1	34	Villarreal	Real Sociedad	0	2	22/04/2006	1145656800
26534	2005-06	1	34	Atletico de Bilbao	Valencia	0	3	23/04/2006	1145743200
26535	2005-06	1	34	Cadiz	Deportivo	1	1	23/04/2006	1145743200
26536	2005-06	1	34	Espanol	Betis	2	0	23/04/2006	1145743200
26537	2005-06	1	34	Mallorca	Osasuna	0	1	23/04/2006	1145743200
26538	2005-06	1	34	Santander	Getafe	1	3	23/04/2006	1145743200
26539	2005-06	1	34	Real Madrid	Malaga	2	1	23/04/2006	1145743200
26540	2005-06	1	34	Sevilla	Barcelona	3	2	13/05/2006	1147471200
26541	2005-06	1	35	Barcelona	Cadiz	1	0	29/04/2006	1146261600
